Sender,DmContent,AppearTime,SendTime,FontColor,DmType
d7f22b00,Samd拿下一波山楂,64.45,1610903116,16777215,1
a5c3678a,被扔烟雾弹了啊，这算啥失误,226.681,1610903127,16777215,1
494c458f,解说的什么东西？,78.819,1610903155,16777215,1
4382c4a7,般配,78.46,1610903202,16777215,1
18d2b3c,瞧不起谁呢,7.21,1610903218,16777215,1
17d46411,导播杀疯了,259.417,1610903230,16777215,1
f4b6798f,这就是top2，那刚是什么,138.377,1610903232,16777215,1
5eb6c52c,首发,0.062,1610902078,15138834,5
aaffa247,卡米尔绝对第一,7.679,1610902130,16777215,1
3c1ffdae,注意theshy这团打的有多逛街,23.801,1610902171,38979,1
1b9206e4,看不起谁呢五点发,16.558,1610902202,16777215,1
e9f3b48d,空大，逛街,25.659,1610902210,16777215,1
f3d64fbb,我在这里先说一句，解说真拉夸,47.143,1610902224,16777215,1
28bb55b0,没samd？,177.915,1610902313,16777215,1
d522538f,正片开始,202.808,1610902328,16777215,1
91cc11a6,芜湖,4.979,1610902350,16777215,1
